  m             v             log10(rho)    log10(temp)   he4           c12           o16           ne20         mg24          si28          s32           ar36         ca40          ti44          cr48          fe52         fe54          ni56          ni57          ni58          ni59          ni60          ni61          ni62
  Msol          cm/s          g/cm^3        K
  2.09673e-01   5.72820e+08   2.66130e+00   7.65210e+00   1.31240e-02   4.73030e-06   1.48655e-08   2.85196e-08  4.35251e-08   5.29633e-07   2.51728e-06   3.44680e-06  3.68586e-05   1.68309e-05   3.25856e-05   6.06891e-05  4.80312e-09   9.15343e-01   2.06498e-02   1.79447e-02   9.37885e-04   2.68401e-02   8.00264e-04   4.20234e-03
  2.29551e-01   5.95200e+08   2.63490e+00   7.64790e+00   1.37174e-02   5.12678e-06   1.63511e-08   3.13829e-08  4.79850e-08   5.83706e-07   2.76699e-06   3.78745e-06  4.04361e-05   1.84956e-05   3.61851e-05   6.69227e-05  5.10558e-09   9.14239e-01   2.06642e-02   1.75500e-02   9.41397e-04   2.76181e-02   8.25674e-04   4.27004e-03
  2.50098e-01   6.18450e+08   2.61770e+00   7.64130e+00   1.43038e-02   5.51006e-06   1.78187e-08   3.42861e-08  5.25119e-08   6.38139e-07   3.03790e-06   4.16590e-06  4.42777e-05   2.03394e-05   3.91994e-05   7.26502e-05  5.42373e-09   9.13341e-01   2.07035e-02   1.71731e-02   9.43463e-04   2.81853e-02   8.44386e-04   4.31512e-03
  2.71221e-01   6.42000e+08   2.59590e+00   7.63990e+00   1.48740e-02   5.89448e-06   1.93752e-08   3.73070e-08  5.71983e-08   6.95636e-07   3.30008e-06   4.51121e-06  4.74477e-05   2.17778e-05   4.18442e-05   7.79949e-05  5.73053e-09   9.12594e-01   2.07145e-02   1.68431e-02   9.44960e-04   2.86265e-02   8.55266e-04   4.34364e-03
  2.92870e-01   6.64620e+08   2.57410e+00   7.63650e+00   1.54233e-02   6.28206e-06   2.10029e-08   4.04283e-08  6.19934e-08   7.54912e-07   3.53669e-06   4.79534e-06  5.05432e-05   2.32055e-05   4.52117e-05   8.37395e-05  6.01609e-09   9.11806e-01   2.07158e-02   1.65313e-02   9.46655e-04   2.91099e-02   8.73338e-04   4.37590e-03
  3.14975e-01   6.88450e+08   2.54350e+00   7.62260e+00   1.59686e-02   6.63072e-06   2.25085e-08   4.32715e-08  6.63892e-08   8.07574e-07   3.74318e-06   5.04916e-06  5.39316e-05   2.49092e-05   4.82820e-05   8.92648e-05  6.28792e-09   9.11104e-01   2.07430e-02   1.62363e-02   9.46987e-04   2.94817e-02   8.87421e-04   4.39944e-03
  3.37474e-01   7.12960e+08   2.52080e+00   7.62840e+00   1.65037e-02   6.88657e-06   2.36818e-08   4.54140e-08  6.97299e-08   8.46072e-07   3.93892e-06   5.34553e-06  5.72854e-05   2.64716e-05   5.05754e-05   9.33247e-05  6.54247e-09   9.10500e-01   2.07789e-02   1.59812e-02   9.45802e-04   2.97640e-02   8.91739e-04   4.38971e-03
  3.60301e-01   7.36260e+08   2.51640e+00   7.60830e+00   1.70250e-02   7.12731e-06   2.48293e-08   4.75741e-08  7.30786e-08   8.86312e-07   4.16803e-06   5.69779e-06  6.04109e-05   2.77732e-05   5.32808e-05   9.79820e-05  6.82772e-09   9.09869e-01   2.08162e-02   1.57273e-02   9.44172e-04   3.00666e-02   9.02934e-04   4.39097e-03
  3.83385e-01   7.58380e+08   2.49030e+00   7.61310e+00   1.75813e-02   7.46784e-06   2.64479e-08   5.06872e-08  7.79234e-08   9.46354e-07   4.45244e-06   6.07593e-06  6.36281e-05   2.91368e-05   5.63289e-05   1.04751e-04  7.18526e-09   9.09253e-01   2.08593e-02   1.54453e-02   9.42760e-04   3.02975e-02   9.18478e-04   4.42920e-03
  4.06666e-01   7.79820e+08   2.45640e+00   7.60490e+00   1.81126e-02   7.81342e-06   2.81697e-08   5.39147e-08  8.29067e-08   1.00831e-06   4.71536e-06   6.38018e-06  6.62045e-05   3.03084e-05   5.81500e-05   1.08824e-04  7.46221e-09   9.08881e-01   2.08805e-02   1.52374e-02   9.42795e-04   3.03217e-02   9.18817e-04   4.42113e-03
